,s1_open,s2_open
318,9.151,16.1
319,8.799,15.903
320,8.811,15.633
321,8.92,15.732
322,8.92,15.382
323,8.848,15.588
324,8.629,15.624
325,8.738,15.49
326,8.574,15.427
327,8.726,14.888
328,8.914,14.762
329,8.775,14.726
330,8.672,14.501
331,8.295,14.097
332,8.289,13.773
333,8.326,15.094
334,8.277,14.825
335,8.241,15.031
336,8.192,15.472
337,8.684,15.4
338,8.49,15.409
339,8.647,15.004
340,8.581,14.968
341,8.617,14.959
342,8.338,15.364
343,8.435,15.076
344,8.568,15.139
345,8.757,15.013
346,8.647,14.825
347,8.702,15.274
348,8.775,15.265
349,8.647,15.894
350,8.92,16.307
351,8.92,16.262
352,9.254,16.352
353,9.303,16.011
354,9.278,16.28
355,9.412,16.316
356,9.23,16.891
357,9.406,16.711
358,9.454,16.622
359,9.649,16.514
360,9.545,16.514
361,9.454,16.586
362,9.4,16.424
363,9.479,16.622
364,9.709,16.523
365,9.764,16.622
366,9.891,16.532
367,10.0,16.289
368,9.864,16.038
369,9.872,15.957
370,9.888,15.993
371,9.84,15.705
372,9.711,15.714
373,9.623,15.624
374,9.383,15.454
375,9.351,15.346
376,9.343,15.642
377,9.222,15.409
378,9.27,15.507
379,9.327,15.22
380,9.174,15.121
381,9.278,13.926
382,8.982,14.959
383,8.974,14.42
384,8.34,14.798
385,8.765,15.031
386,8.372,15.732
387,8.701,15.364
388,8.813,15.337
389,9.142,14.726
390,8.934,14.879
391,8.918,14.429
392,8.533,14.753
393,8.549,14.555
394,8.493,14.87
395,8.621,14.6
396,8.493,14.6
397,8.701,14.465
398,8.613,14.6
399,8.573,14.375
400,8.557,14.375
401,8.637,14.061
402,8.501,13.944
403,8.38,14.16
404,8.14,13.89
405,8.108,13.477
406,8.308,13.531
407,8.14,13.54
408,7.859,13.531
409,8.003,13.54
410,7.979,13.297
411,8.019,13.522
412,8.003,13.926
413,7.859,13.522
414,8.035,13.558
415,8.22,13.531
416,7.779,13.684
417,7.843,13.423
418,7.779,13.36
419,7.851,13.01
420,7.699,13.324
421,7.763,12.974
422,7.626,13.477
423,7.578,13.522
424,7.947,13.513
425,7.971,13.486
426,7.963,13.297
427,7.947,13.118
428,7.691,12.74
429,7.578,12.489
430,7.402,12.668
431,7.274,12.758
432,7.362,13.243
433,7.434,13.36
434,7.651,13.594
435,7.811,13.36
436,7.787,13.207
437,7.731,13.72
438,7.683,13.567
439,7.851,13.432
440,8.043,13.459
441,7.979,13.342
442,7.835,13.118
443,7.835,13.109
444,7.779,13.189
445,7.699,13.118
446,7.683,12.749
447,7.755,12.668
448,7.731,12.372
449,7.442,12.444
450,7.314,12.381
451,7.234,12.174
452,7.217,12.12
453,7.217,11.986
454,7.081,11.68
455,7.097,11.653
456,6.985,11.59
457,6.833,11.222
458,6.841,11.069
459,6.776,10.629
460,6.632,10.979
461,6.56,11.006
462,6.255,10.925
463,6.303,10.853
464,6.335,10.8
465,6.255,10.701
466,6.303,10.782
467,6.207,10.323
468,6.159,10.314
469,6.063,10.269
470,5.79,10.458
471,5.974,10.09
472,5.91,10.404
473,6.023,10.952
474,5.774,10.916
475,5.886,10.692
476,6.055,10.961
477,6.031,11.159
478,5.974,11.33
479,6.039,10.791
480,6.135,10.835
481,6.239,10.88
482,6.023,11.267
483,5.854,11.977
484,5.878,11.761
485,6.151,11.905
486,6.576,11.554
487,6.608,11.86
488,6.616,12.39
489,6.504,12.309
490,6.728,12.471
491,7.362,12.776
492,7.185,12.767
493,7.242,12.399
494,7.466,12.632
495,7.442,12.605
496,7.306,12.417
497,6.985,12.129
498,7.217,12.462
499,7.282,12.354
500,7.153,12.354
501,7.057,12.444
502,7.338,12.246
503,7.29,12.453
504,7.354,12.453
505,7.378,12.579
506,7.354,12.462
507,7.402,12.489
508,7.386,12.668
509,7.442,12.821
510,7.37,13.064
511,7.402,13.01
512,7.498,13.127
513,7.675,13.1
514,7.867,13.064
515,7.771,13.369
516,7.723,13.306
517,7.683,12.83
518,7.747,12.695
519,7.963,12.839
520,8.164,12.983
521,7.795,12.911
522,7.835,13.073
523,7.907,12.596
524,7.979,12.39
